"ID","BaseValue","LevelIncrease","LevelIncreaseNovice","Min","Max","Floor","Exception","ExceptionLow","ExceptionHigh","ExceptionValue","NormalLevel","Type","OriginID","OutputID","RequireTool","Tools"
"^v108",,,,,,,,,,,,,,,,
10,1.2,-0.03,-0.01,0.25,100,FALSE,FALSE,0,0,0,5,"TOOLDURABILITY","0","0",TRUE,"270 274 257 285 278"
20,1.2,-0.03,-0.01,0.25,100,FALSE,FALSE,0,0,0,5,"TOOLDURABILITY","0","0",TRUE,"269 273 256 284 277"
30,1.2,-0.03,-0.01,0.25,100,FALSE,FALSE,0,0,0,5,"TOOLDURABILITY","0","0",TRUE,"271 275 258 286 279"
40,1.5,-0.03,-0.07,0.25,100,FALSE,FALSE,0,0,0,5,"PLOWDURABILITY","0","0",TRUE,"290 291 292 293 294"
41,0.1,0.02,0.02,0,100,FALSE,FALSE,0,0,0,5,"BLOCKDROP","31","295",FALSE,
80,0.75,0.05,0,0,2,FALSE,FALSE,0,0,0,5,"SPECIAL","0","0",FALSE,
110,0,0.01,0,0,0.3,FALSE,FALSE,0,0,0,0,"DIGTIME","4","0",TRUE,"270 274 257 285 278"
111,0,0.01,0,0,0.3,FALSE,FALSE,0,0,0,0,"DIGTIME","1","0",TRUE,"270 274 257 285 278"
120,0.8,0.04,-0.02,0,1,FALSE,FALSE,0,0,0,8,"BLOCKDROP","4","4",FALSE,"270 274 257 285 278"
121,0.55,0.1,-0.05,0,100,FALSE,FALSE,0,0,0,7,"BLOCKDROP","1","4",FALSE,"270 274 257 285 278"
130,0.7,0.06,0,0,3,FALSE,FALSE,0,0,0,5,"BLOCKDROP","16","263",FALSE,"270 274 257 285 278"
131,0.7,0.06,0,0,1,FALSE,TRUE,6,30,0,5,"BLOCKDROP","15","15",FALSE,"274 257 278"
132,0.7,0.06,0,0,3,FALSE,TRUE,0,5,0,0,"BLOCKDROP","15","265",FALSE,"274 257 278"
140,0.7,0.06,0,0,1,FALSE,TRUE,5,30,0,4,"BLOCKDROP","14","14",FALSE,"257 278"
141,0.7,0.08,0,0,4,FALSE,TRUE,0,4,0,0,"BLOCKDROP","14","266",FALSE,"257 278"
142,1,0.08,-0.08,0,4,FALSE,FALSE,0,5,1,3,"BLOCKDROP","56","264",FALSE,"257 278"
143,3,0.25,0,0,15,FALSE,FALSE,0,0,0,5,"BLOCKDROP","73","331",FALSE,"257 278"
144,3,0.25,0,0,15,FALSE,FALSE,0,0,0,5,"BLOCKDROP","21","351:4",FALSE,"257 278"
210,0,0.01,0,0,0.3,FALSE,FALSE,0,0,0,0,"DIGTIME","12","0",TRUE,"269 273 256 284 277"
211,0.8,0.04,0,0,100,FALSE,FALSE,0,0,0,5,"BLOCKDROP","12","12",FALSE,"269 273 256 284 277"
220,0,0.01,0,0,0.3,FALSE,FALSE,0,0,0,0,"DIGTIME","13","0",TRUE,"269 273 256 284 277"
221,0.94,-0.01,0,0,1,FALSE,FALSE,0,0,0,5,"BLOCKDROP","13","13",FALSE,"269 273 256 284 277"
222,0.06,0.02,-0.01,0,100,FALSE,FALSE,0,0,0,5,"BLOCKDROP","13","318",FALSE,"269 273 256 284 277"
230,0,0.01,0,0,0.3,FALSE,FALSE,0,0,0,0,"DIGTIME","3","0",TRUE,"269 273 256 284 277"
231,0.5,0.05,0,0,100,FALSE,FALSE,0,0,0,10,"BLOCKDROP","3","3",FALSE,"269 273 256 284 277"
232,0,0.01,0,0,0.3,FALSE,FALSE,0,0,0,5,"DIGTIME","2","0",TRUE,"269 273 256 284 277"
233,0.5,0.05,0,0,100,FALSE,FALSE,0,0,0,10,"BLOCKDROP","2","3",FALSE,"269 273 256 284 277"
310,0,0.01,0,0,0.3,FALSE,FALSE,0,0,0,5,"DIGTIME","17","0",FALSE,"271 275 258 286 279"
311,0.5,0.05,0.05,0,100,FALSE,FALSE,0,0,0,5,"BLOCKDROP","17","17",FALSE,"271 275 258 286 279"
312,0,0.01,0,0,0.3,FALSE,FALSE,0,0,0,0,"DIGTIME","18","0",FALSE,
320,1.95,0.14,0.3,0,6,TRUE,FALSE,0,0,0,5,"CRAFT","0","5",FALSE,
321,1.95,0.11,0.3,0,6,TRUE,FALSE,0,0,0,5,"CRAFT","0","280",FALSE,
410,0.25,0.05,0,0,100,FALSE,FALSE,0,0,0,5,"BLOCKDROP","59","295",FALSE,
411,0.2,0.2,0,0,100,FALSE,FALSE,0,0,0,30,"BLOCKDROP","59","296",FALSE,
420,0.7,0.06,0,0,100,FALSE,FALSE,0,0,0,5,"BLOCKDROP","81","81",FALSE,
421,0.7,0.06,0,0,100,FALSE,FALSE,0,0,0,5,"BLOCKDROP","338","338",FALSE,
510,1,0.2,0.2,0,6,FALSE,FALSE,0,0,0,5,"CRAFT","67","67",FALSE,
511,1,0.13,0.25,0,6,FALSE,FALSE,0,0,0,5,"CRAFT","44:3","44:3",FALSE,
512,1,0.13,0.25,0,6,FALSE,FALSE,0,0,0,5,"CRAFT","44:0","44:0",FALSE,
520,0,0.1,0,0,1,FALSE,FALSE,0,0,0,0,"BLOCKDROP","20","20",FALSE,
530,1,0.06,0.06,0,3,TRUE,FALSE,0,0,0,5,"CRAFT","65","65",FALSE,
531,1.5,0.1,0,0,4,TRUE,FALSE,0,0,0,5,"CRAFT","85","85",FALSE,
532,1,0.2,0.2,0,6,TRUE,FALSE,0,0,0,5,"CRAFT","53","53",FALSE,
533,1,0.06,0.06,0,3,TRUE,FALSE,0,0,0,5,"CRAFT","324","324",FALSE,
534,1,0.06,0.06,0,3,TRUE,FALSE,0,0,0,5,"CRAFT","323","323",FALSE,
535,1,0.2,0.2,0,6,TRUE,FALSE,0,0,0,5,"CRAFT","44:2","44:2",FALSE,
